id,Originale,Langues,"Manuscrit /
imprimé ","Gothique /
romain","Prose
vers","Auteur
déclaré",auteur,"text__Fonction
déclarée","select__Type
auteur",Fait,"Changement
titre",Titre générique,titre,Lieu,Pays,"Lieu
fictif",Editeur,"Editeur
normalisé","Éditeur
fictif",Date publication,"Date
calculée","Ed.
partagée",Format,Privilège,"Durée du
privilège","Table
nb de p.",Gravures,"Nb
d’histoires",Paginé / folioté,Nb de pages,Genre nouvelle,"Rire du
pouvoir","Rire des
mœurs","Rire de la
religion","Rire des
protestants",Bibliothèque,Cote,Numérisation,Traduction,"Autres
Bibliothèques",manifeste_url
nkl.5be8vpp2,oui,Fr,imprimé,Gothique,prose,Julien Macho,Julien Macho,frère augustin docteur en théologie,Jambon,,,Fables d'Ésope,"Les Subtiles fables d'Esope, traduites par Julien Macho, Augustin et suivies de fables d'Avien, d'Alphonse et de Pogge",Lyon,France,,Nicolaus Philippi et Marcus Reinhart,,,1480,1480,,folio,non,,,,,,292,Nouvelles / fables / ,,,,,BM Tours,,,,,http://localhost:4321/manifestes/nkl.5be8vpp2.json
nkl.c6ceava6," ""oui""",Fr,imprimé,,prose,Anonyme,Anonyme,,Anonyme,vu,,"Les Agreables Divertissemens. ou se voit [sic], les entretiens les plus comiques, galants et facétieux de la Conversation. Augmenté d’un Receuil [sic] de plaisantes Epitaphes. Seconde édition",Les  Agreables  divertissemens  françois : Contenant plusieurs Rencontres  facetieuses de ce Temps,Paris,France,,"Chez Jacques Le Gras, au Palais,  à l’entrée de la Galerie des Prisonniers",Jacques Le Gras,,1654,1654,,8,non,,2,non,170,paginé,392,Nouvelles / apophtegmes,,,,,Arsenal,8-BL-30572,https://gallica.bnf.fr/ark:/12148/bpt6k8727324g#,,Bibliothèque nationale de la République tchèque : https://books.google.fr/books?id=OKD820-7GJMC&newbks=1&newbks_redir=0&pg=PA1&dq=Les+Agr%C3%A9ables+Divertissemens+fran%C3%A7ois&hl=fr&source=gbs_selected_pages&cad=1#v=onepage&q&f=false,http://localhost:4321/manifestes/nkl.c6ceava6.json
nkl.cb0e18j9," ""oui""",Fr,imprimé,,prose,Marguerite de Navarre,Marguerite de Navarre,Reine de Navarre,Auteur,vu,,L’Heptaméron,Histoire des amans fortunés Dediées à tresillustre Princesse Madame Marguerite de Bourbon Duchesse de Nivernois,Paris,France,,Gilles Gilles,Gilles Gilles,,1558,1558,,4,Privilège du roi,6,11,non,67,folioté,405,Nouvelles,,oui,oui,,BnF,Y2-734,,,,http://localhost:4321/manifestes/nkl.cb0e18j9.json
